Title,Author,Price
Prelude,Katherine Mansfield,"US$ 7,500.00"
Poems,C.N. Sidney Woolf,US$ 40.00
Poems,TS Eliot,US$ 40.00
The Critic in Judgment or Belshazzar of Baronscourt,Murry Middleton,"US$ 2,500.00"
Kew Gardens,Virginia Woolf,"US$ 6,500.00"
The Mark on the Wall,Virginia Woolf,"US$ 1,500.00"
The Story of the Siren,EM Forster,"US$ 1,250.00"
Reminiscences of Leo Nicolayevitch Tolstoi,SS Koteliansky and Leonard Woolf,US$ 20.00
Poems,Clive Bell,US$ 40.00
Twelve Original Woodcuts,Roger Fry,"US$ 7,500.00"
Poems,Frank Prewett,US$ 40.00
Monday or Tuesday,Virginia Woolf,"US$ 2,000.00"
The Dark,Leonid Andreev,US$ 122.83
The Gentleman from San Francisco and Other Stories,IA Bunin,US$ 50.00
Group Psychology and the Analysis of the Ego,Sigmund Freud,US$ 8.41
Pharos and Pharillon,EM Forster,US$ 38.79
A Sampler of Castile,Roger Fry,US$ 420.22
Talks with Tolstoi,AB Goldenveizer,US$ 95.00
The Feather Bed,Robert Graves,US$ 600.00
To a Proud Phantom,Ena Limebeer,US$ 850.00
Poems,GH Luce,US$ 40.00
Mutations of the Phoenix,Herbert Read,"US$ 1,750.00"
Henry James at Work,Theodora Bosanquet,US$ 226.65
Homage to John Dryden,TS Eliot,US$ 187.48
The Artist and Psycho-Analysis,Roger Fry,US$ 45.00
Mock Beggar Hall,Robert Graves,US$ 400.00
In Our Town,Coralie Hobson,US$ 150.00
Grace After Meat,John Crowe Ransom,US$ 450.00
Seducers in Ecuador,Vita Sackville-West,US$ 375.00
Some Early Impressions,Leslie Stephen,US$ 7.77
Senlin: A Biography,Conrad Aiken,US$ 250.00
Parallax,Nancy Cunard,US$ 775.79
Histriophone,Bonamy Dobree,US$ 75.00
Anonymity An Enquiry,EM Forster,US$ 25.86
Poems,Barrington Gates,US$ 40.00
The Economic Consequences of Mr. Churchill,John Maynard Keynes,US$ 379.14
First Poems,Edwin Muir,US$ 275.00
Turbott Wolfe,William Plomer,US$ 850.00
In Retreat,Herbert Read,US$ 180.00
Russet and Taffeta,George Rylands,"US$ 1,000.00"
The Other Side of the Medal,Edward Thompson,US$ 950.00
Poems and Fables,RC Trevelyan,US$ 225.00
Fear and Politics,Leonard Woolf,US$ 150.00
The Common Reader,Virginia Woolf,US$ 25.86
Mrs. Dalloway,Virginia Woolf,US$ 64.65
Chosen Poems,Douglas Ainslie,US$ 95.00
Further Contributions to the Theory and Technique of Psycho-Analysis,Sandor Ferenczi,US$ 55.00
Art and Commerce,Roger Fry,US$ 50.00
The Close Chaplet,Laura Riding Gottschalk,"US$ 3,500.00"
Another Future of Poetry,Robert Graves,US$ 75.00
The End of Laissez-Faire,John Maynard Keynes,US$ 104.73
Catchwords and Claptrap,Rose Macaulay,US$ 75.00
Transition,Edwin Muir,US$ 169.44
Disarmament,PJ Noel Baker,US$ 11.09
Passenger to Tehran,Vita Sackville-West,US$ 176.00
Selected Papers of Karl Abraham,Karl Abraham,US$ 350.00
The State of Religious Belief,RB Braithwaite,US$ 52.59
The Ego and the Id,Sigmund Freud,"US$ 3,500.00"
Contemporary Music,Robert Hull,US$ 25.00
Mr. Baldwin Explains and other Dream Interviews,Peter Ibbetson,US$ 16.87
Posterity,Stephen King-Hall,US$ 4.53
The Marionette,Edwin Muir,US$ 59.48
Books and the Public,John Maynard Keynes,"US$ 1,818.00"
Studies in Shakespeare,Allardyce Nicoll,US$ 7.61
The Development of English Biography,Harold Nicolson,US$ 58.18
The Anatomy of African Misery,Lord Olivier,US$ 75.00
Notes for Poems,William Plomer,US$ 95.00
Voltaire,Laura Riding,"US$ 4,202.22"
Early Socialist Days,Stephen Sanders,US$ 500.00
The Prospects of Literature,Logan Pearsall Smith,US$ 12.93
Meleager,RC Trevelyan,US$ 125.00
Democracy Under Revision,HG Wells,US$ 122.83
Hunting the Highbrow,Leonard Woolf,US$ 169.44
To the Lighthouse,Virginia Woolf,"US$ 7,757.95"
Kew Gardens,Virginia Woolf,"US$ 6,500.00"
Proust,Clive Bell,US$ 58.18
Lancashire Under the Hammer,B Bowker,US$ 10.00
Different Days,Frances Cornford,US$ 250.00
It was Not Jones,R Fitterse,US$ 75.00
The Future of an Illusion,Sigmund Freud,US$ 24.57
Lyrical Poetry from Blake to Hardy,HJC Grierson,US$ 38.79
Delius,Robert Hull,US$ 75.00
The Structure of the Novel,Edwin Muir,US$ 45.00
Words and Poetry,George Rylands,US$ 129.30
Twelve Days,Vita Sackville-West,US$ 186.38
Matrix,Dorothy Wellesley,US$ 75.00
Near East Educational Survey,Florence Wilson,US$ 100.00
Imperialism and Civilization,Leonard Woolf,US$ 50.83
Cambridge Poetry 1929,Christopher Saltmarshe and John Davenport and Basil Wright,US$ 150.00
Politics and Literature,GDH Cole,US$ 15.52
Cawdor,Robinson Jeffers,US$ 150.00
The Whirligig of Taste,EE Kellett,US$ 35.00
The Northern Saga,EE Kellett,US$ 400.00
Death of My Aunt,CHB Kitchin,US$ 290.92
Time and Memory,FL Lucas,US$ 125.00
The Passing of Guto and Other Poems,Huw Menai,US$ 100.00
The Family Tree,William Plomer,US$ 75.00
Lies and Hate in Education,Mark Starr,US$ 42.00
The Hoax,Italo Svevo,US$ 129.30
The Common Sense of World Peace,HG Wells,US$ 25.80
Notes on English Verse Satire,Humbert Wolfe,US$ 10.00
Night and Day,Virginia Woolf,US$ 350.00
As You Were,Wilfrid Benson,US$ 175.00
Cambridge Poetry 1930,John Davenport and Hugh Sykes and Michael Redgrave,US$ 4.24
Civilization and its Discontents,Sigmund Freud,US$ 32.99
Dear Judas and Other Poems,Robinson Jeffers,US$ 90.00
German Lyric Poetry,Norman Macleod,US$ 35.00
The Meaning of Sacrifice,R Money-Kyrle,US$ 125.00
The Armed Muse Poems,Herbert Edward Palmer,US$ 25.86
Occupied Territory,Alice Ritchie,US$ 64.65
The Edwardians,Vita Sackville-West,US$ 28.45
Letters to Frederick Tennyson,Huge Schofield,US$ 4.68
The Nice Old Man and the Pretty Girl and other stories,Italo Svevo,US$ 200.00
The Course of English Classicism from the Tudor to the Victorian Age,Sherard Vines,US$ 53.22
A Broadcast Anthology of Modern Poetry,Dorothy Wellesley,US$ 37.50
On Being Ill,Virginia Woolf,"US$ 8,500.00"
The Race Problem in Africa,Charles Roden Buxton,US$ 75.00
Life as we have known it,Margaret Llewelyn Davies,US$ 150.00
From Feathers to Iron,Cecil Day Lewis,US$ 50.00
Saturday Night at the Greyhound,John Hampson,US$ 38.79
On the Nightmare,Ernest Jones,US$ 55.00
A Garden Revisited and other poems,John Lehmann,US$ 66.53
A Letter to a Sister,Rosamond Lehmann,US$ 25.86
A Last Chance in Kenya,Norman Leys,US$ 45.00
Some Religious Elements in English Literature,Rose Macaulay,US$ 18.00
Sado,William Plomer,US$ 129.30
Poems,George Rylands,US$ 40.00
All Passion Spent,Vita Sackville-West,US$ 720.00
Sissinghurst,Vita Sackville-West,"US$ 1,066.72"
Poetry in France and England,Jean Stewart,US$ 30.00
Three Plays,RC Trevelyan,US$ 45.00
English Village Schools,Marjorie Wise,US$ 11.72
The Waves,Virginia Woolf,US$ 108.00
The New Boer War,Leonard Barnes,US$ 75.00
A Letter from a Black Sheep,Francis Birrell,US$ 35.00
Psycho-analysis of the Neuroses,Helene Deutsch,US$ 17.50
On Marxism To-Day,Maurice Dobb,US$ 39.85
The Mugwumps and the Labour Party,GT Garrett,US$ 23.75
O Providence,John Hampson,US$ 250.00
The Psycho-Analysis of Children,Melanie Klein,US$ 24.95
The Defeat of Baudelaire,Rene Laforgue,US$ 25.86
Russian Notes,CM Lloyd,US$ 75.00
The Case is Altered,William Plomer,US$ 150.00
India in Transition,D Graham Pole,US$ 150.00
A Letter to Mrs. Virginia Woolf,Peter Quennell,US$ 19.39
Family History,Vita Sackville-West,US$ 60.00
Cheerful Weather for the Wedding,Julia Strachey,US$ 180.00
Rimeless Numbers,RC Trevelyan,US$ 500.00
A Letter to a Modern Novelist,Hugh Walpole,US$ 100.00
A Letter to a Young Poet,Virginia Woolf,US$ 100.00
The Magnetic Mountain,Cecil Day Lewis,US$ 75.00
New Introductory Lectures on Psycho-Analysis,Sigmund Freud,US$ 10.87
The Hogarth Letters,,US$ 258.60
Livingstones,Derrick Leon,US$ 600.00
Collected Poems,Vita Sackville-West,US$ 150.00
Flush,Virginia Woolf,US$ 452.55
Progressive Schools,LB Pekin,US$ 50.00
Poems,Maria Rainer Rilke,US$ 40.00
The dark island,Vita Sackville-West,US$ 32.32
The Medium of Poetry,James Sutherland,US$ 9.38
In a Province,Laurens Van der Post,US$ 820.00
From Moscow to Samarkand,ZY,US$ 38.79
Funeral March of a Marionette,Susan Buchan,US$ 116.37
Collected Poems,Cecil Day Lewis,US$ 150.00
A Time to Dance and Other Poems,Cecil Day Lewis,US$ 12.93
Revolution in Writing,Cecil Day Lewis,US$ 32.50
An Autobiographical Study,Sigmund Freud,US$ 19.39
Mr. Norris Changes Trains,Christopher Isherwood,"US$ 2,800.00"
Law and Justice in Soviet Russia,Harold Laski,US$ 50.00
Aesthetics and Psychology,Charles Mauron,US$ 150.00
Allegra,Iris Origo,US$ 75.00
Requiem and Other Poems,Maria Rainer Rilke,US$ 250.00
Beelzebub and Other Poems,RC Trevelyan,US$ 250.00
Land and Freedom,Frederick Verinder,US$ 75.00
The Future of Colonies,Leonard Barnes,US$ 25.00
Work for the Winter and other poems,Julian Bell,US$ 193.95
Noah and the Waters,Cecil Day Lewis,US$ 32.40
Land-Value Rating,FCR Douglas,US$ 75.00
Windless Sky,Fritz Faulkner,US$ 175.00
"Inhibitions, Symptoms and Anxiety",Sigmund Freud,US$ 64.65
The Unknown Murderer,Theodor Reik,US$ 75.00
Sonnets to Orpheus,Rainer Maria Rilke,US$ 96.97
The Authorship of Wuthering Heights,Irene Cooper Willis,US$ 67.44
A Childhood,Francesca Allinson,US$ 96.97
Ladies and Gentlemen in Victorian Fiction,EM Delafield,US$ 20.20
A General Selection from the Works of Sigmund Freud,Sigmund Freud,US$ 84.04
Sally Bowles,Christopher Isherwood,US$ 250.00
Poems,Christopher Lee,US$ 40.00
Socrates,Naomi Mitchison and RHS Crossman,US$ 12.93
Darwin,LB Pekin,US$ 125.00
Pepita,Vita Sackville-West,US$ 39.69
The Years,Virginia Woolf,US$ 258.60
Poems,Kenneth Allott,US$ 40.00
The Bankers of London,Percy Arnold,US$ 77.58
The Machinery of Socialist Planning,GDH Cole,US$ 20.00
Books and the People,Margaret Cole,US$ 75.00
The Political and Social Doctrine of Communism,Palme Dutt,US$ 25.00
Lions and Shadows,Christopher Isherwood,US$ 44.05
Later Poems,Rainer Maria Rilke,US$ 18.10
Journey to the Border,Edward Upward,US$ 84.04
Three Guineas,Virginia Woolf,US$ 200.00
Amber Innocent,Joan Aden Easdale,"US$ 1,500.00"
Moses and Monotheism,Sigmund Freud,US$ 70.00
A History of Socialism,Sally Graves,US$ 39.85
Party Going,Henry Green,"US$ 1,228.34"
Goodbye to Berlin,Christopher Isherwood,US$ 32.32
Superstition and Society,Roger Money-Kyrle,US$ 12.93
The German Army,Herbert Rosinski,US$ 872.77
Poems for Spain,Stephen Spender and John Lehmann,US$ 77.58
Selected Poems,Cecil Day Lewis,US$ 38.50
Pack My Bag,Henry Green,US$ 96.97
Selected Poems,William Plomer,US$ 38.50
Country Notes in Wartime,Vita Sackville-West,US$ 100.00
Roger Fry,Virginia Woolf,"US$ 1,422.29"
Selected Poems,Herman Melville,US$ 38.50
Selected Poems,Rainer Maria Rilke,US$ 38.50
Selected Poems,Vita Sackville-West,US$ 38.50
Poems,Terence Tiller,US$ 40.00
Aftermath,RC Trevelyan,US$ 45.00
Between the Acts,Virginia Woolf,US$ 450.00
